UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
P01732,Primary Antibody,CD8,Human,Mouse,IgG1,SK1,BioLegend,344716,AF488,AB_10549301,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01732,Primary Antibody,CD8,Human,Mouse,IgG1,SK1,BioLegend,344716,AF488,AB_10549301,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD8_AF488/Human_Metastatic_Lymph_Node_CD8_CD138.jpg,"Human lymph node metastatic: CD8 (green, catalog number 344716) and CD138 (blue, catalog number 356524)",1a614edc8a0e51ff699b49bd44e4a660
P01732,Primary Antibody,CD8,Human,Mouse,IgG1,SK1,BioLegend,344716,AF488,AB_10549301,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD1c_PE/Human_LN_CD1c_CD8_CD25.jpg;CD4_AF532/CD4_AF532_Thermo_58-0049-42_CD8_AF488_BioLegend_344716.jpg,"Human lymph node: CD1c (red, catalog number 331506), CD8 (blue, catalog number 344716), and CD25 (yellow, catalog number 356128);Human lymph node: CD4 (cyan, catalog number 58-0049-42) and CD8 (red, catalog number 561525)",9e4b5f263037bdc08e4dc3357fa6c976;426ac951d0aab413cd12809b58efb545
P01732,Primary Antibody,CD8,Human,Mouse,IgG1,SK1,BioLegend,344716,AF488,AB_10549301,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD3_iF594/Spleen_CD3_iF594_CapricoBio_1053135_CD8_AF488_BioLegend_344716.jpeg,"Human spleen: CD8 (cyan, catalog number 344716) and CD3 (red, catalog number 1053135)",ac59abef988bbcb728ee3cc277a406be
P01730,Primary Antibody,CD4,Human,Mouse,IgG1,RPA-T4,BioLegend,300520,AF647,AB_389333,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01730,Primary Antibody,CD4,Human,Mouse,IgG1,RPA-T4,BioLegend,300520,AF647,AB_389333,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01730,Primary Antibody,CD4,Human,Mouse,IgG1,RPA-T4,BioLegend,300520,AF647,AB_389333,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD4_AF647/Human_LN_CD4_CD31.jpg,"Human lymph node: CD4 (cyan, catalog number 300520) and CD31 (magenta, catalog number 303106)",3757b69d52b944f972136bbfce270a32
P01730,Primary Antibody,CD4,Human,Mouse,IgG1,RPA-T4,BioLegend,300520,AF647,AB_389333,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Vimentin_AF532/Human_Spleen_CD4_Vimentin.jpg;CD163_AF532/Spleen_CD163_AF532_BioLegend_333602_CD4_AF647_BioLegend_300520.jpeg,"Human spleen: CD4 (cyan, catalog number 300520) and Vimentin (red, based on catalog number 677802);Human spleen: CD163 (yellow, based on catalog number 333602) and CD4 (cyan, catalog number 300520)",eba9830e343fe443ce7f80dbb7f382fb;fe99558e8c05ac21fb252326eb30b1ea
P01877,Primary Antibody,IgA2,Human,Mouse,IgG1,A9604D2,SouthernBiotech,9140-30,AF488,AB_2796665,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P18827,Primary Antibody,CD138,Human,Mouse,IgG1,MI15,BioLegend,356504,PE,AB_2561878,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Tubulin_beta-3_chain_AF488/Human_Jejunum_BTub3_CD138.jpg,"Human jejunum: Beta-tubulin 3 (yellow, catalog number 801203) and CD138 (purple, catalog number 356504)",b3d3df61d01f1be932d2c480fdac141e
P18827,Primary Antibody,CD138,Human,Mouse,IgG1,MI15,BioLegend,356504,PE,AB_2561878,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD54_AF647/Human_Liver_CD54_CD138.jpg,"Human liver: CD54 (cyan, catalog number 353114) and CD138 (purple, catalog number 356504)",e5190893aabff3c6ed042603d5c55d32
P18827,Primary Antibody,CD138,Human,Mouse,IgG1,MI15,BioLegend,356504,PE,AB_2561878,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD138_PE/CD138_PE_BioLegend_356504_IRF4_PE_BioLegend_646404.jpg;CD31_AF700/Human_LN_CD31_CD138_IRF4.jpg,"Human lymph node: CD138 (cyan, catalog number 356504) and IRF4 (red, catalog number 646404);Human lymph node: CD31 (magenta, catalog number 303133), CD138 (blue, catalog number 356504), and IRF4 (green, catalog number 646404	)",d318e148a8bd3734e1d786d6e9859346;bbf86127ca25d521367ae14420dd8263
P18827,Primary Antibody,CD138,Human,Mouse,IgG1,MI15,BioLegend,356504,PE,AB_2561878,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Alpha_smooth_muscle_actin_eF570/Spleen_aSMA_eF570_Thermo_41-9760-82_CD138_PE_BioLegend_356504.jpeg,"Human spleen: CD138 (red, catalog number 356504) and aSMA (cyan, catalog number 41-9760-82)",5d4b21ee58e72648557b262e92cd55d1
Q15116,Primary Antibody,PD-1,Human,Mouse,IgG1,EH12.2H7,BioLegend,329906,PE,AB_940483,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Jejunum,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15116,Primary Antibody,PD-1,Human,Mouse,IgG1,EH12.2H7,BioLegend,329906,PE,AB_940483,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q15116,Primary Antibody,PD-1,Human,Mouse,IgG1,EH12.2H7,BioLegend,329906,PE,AB_940483,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,IgD_AF488/Human_LN_IgD_PD-1.jpg;ICOS_AF488/ICOS_AF488_BioLegend_313514_PD1_PE_BioLegend_329906.jpg,"Human lymph node: IgD (blue, catalog number 348216) and PD-1 (green, catalog number 329906);Human lymph node: ICOS (cyan, catalog number 313514) and PD-1 (magenta, catalog number 329906)",1cb632c43e4ad5310165e361f5cd1c74;54bda37ca4398ed5e86f99ee58060a6c
NA,Primary Antibody,Cytokeratin (Pan),Human,Mouse,IgG1,AE1/AE3,Thermo Fisher Scientific,53-9003-82,AF488,AB_2574301,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P28906,Primary Antibody,CD34,Human,Mouse,IgG1,QBEND/10,Thermo Fisher Scientific,MA1-10205,PE,AB_11152571,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62736,Primary Antibody,Alpha smooth muscle actin,Human,Mouse,IgG2a,1A4,Thermo Fisher Scientific,50-9760-82,eF660,AB_2574362,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62736,Primary Antibody,Alpha smooth muscle actin,Human,Mouse,IgG2a,1A4,Thermo Fisher Scientific,50-9760-82,eF660,AB_2574362,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62736,Primary Antibody,Alpha smooth muscle actin,Human,Mouse,IgG2a,1A4,Thermo Fisher Scientific,50-9760-82,eF660,AB_2574362,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P08473,Primary Antibody,CD10,Human,Goat,IgG,Polyclonal,R&D Systems,AF1182,Unconjugated,AB_354652,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Goat IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-11055,AF488,AB_2534102,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Goat IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-11055,AF488,AB_2534102,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9NP85,Primary Antibody,Podocin,Human,Rabbit,IgG,JB51-33,Novus Biologicals,NBP2-75624,Unconjugated,AB_2892752,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-31572,AF555,AB_162543,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-31572,AF555,AB_162543,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P31997,Primary Antibody,CD66b,Human,Mouse,IgM,G10F5,Caprico Biotechnologies,1075136,iF594,AB_2892744,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07711,Primary Antibody,Cathepsin L,Human,Rat,IgG2a,204101,R&D Systems,MAB-9521,Unconjugated,AB_2087829,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rat IgG (H+L),Human,Donkey,IgG,Polyclonal,Jackson ImmunoResearch,712-605-153,AF647,AB_2340694,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Rat IgG (H+L),Human,Donkey,IgG,Polyclonal,Jackson ImmunoResearch,712-605-153,AF647,AB_2340694,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P22083,Primary Antibody,CD15,Human,Mouse,IgM,MMA,BD Biosciences,347420,Unconjugated,AB_400298,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Mouse IgM,Human,Donkey,IgG,Polyclonal,Jackson ImmunoResearch,715-545-020,AF488,AB_2340844,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Mouse IgM,Human,Donkey,IgG,Polyclonal,Jackson ImmunoResearch,715-545-020,AF488,AB_2340844,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD15_Unconjugated/Spleen_CD15_BD_347420_IgM_AF488_JacksonIR_715-545-020_Vimentin_AF532_BioLegend_677802.jpeg,"Human spleen: CD15 (cyan, catalog number 347420 and 715-545-020) and Vimentin (red, based on catalog number 677802)",8eeac19737eb4e1c44573567d55daa68
Q9BYF1,Primary Antibody,ACE2,Human,Goat,IgG,Polyclonal,R&D Systems,AF933 (Unconjugated),AF555,AB_2892761,Custom,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
O15393,Primary Antibody,TMPRSS2,Human,Rabbit,IgG,EPR3861,Abcam,ab92323 (Unconjugated),AF647,AB_2892763,Custom,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P51884,Primary Antibody,Lumican,Human,Goat,IgG,Polyclonal,R&D Systems,AF2846 (Unconjugated),iF594,AB_2892764,Custom,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P07911,Primary Antibody,Uromodulin,Human,Mouse,IgG2b,10.32,Novus Biologicals,NBP1-50431,FITC,AB_10012622,Stock,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P18827,Primary Antibody,Syndecan-1,Human,Goat,IgG,Polyclonal,R&D Systems,AF2780 (Unconjugated),iF594,AB_2892765,Custom,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P02724,Primary Antibody,Glycophorin A,Human,Rabbit,IgG,EPR8200,Abcam,ab218372 (Unconjugated),AF555,AB_2892758,Custom,IBEX2D Automated,FFPE,Kidney,NA,0.3% Triton-X-100,pH 6 for 40 minutes at 95C (AR6 Akoya Biosciences AR600250ML),0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P00966,Primary Antibody,ASS1,Human,Rabbit,IgG,EPR12398,Abcam,ab170952,Unconjugated,AB_2892766,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
NA,Secondary Antibody,Goat IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21084,AF680,AB_2535741,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P08729,Primary Antibody,Cytokeratin 7,Human,Rat,IgG2a,W16155A,BioLegend,601606,AF488,AB_2728458,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-3218-4479,NA,0000-0002-3218-4479,CD44_AF532/Human_Liver_Keratin7_CD44_CD45.jpg,"Human liver: Cytokeratin 7 (green, catalog number 601606), CD44 (blue, based on catalog number 103002) and CD45 (magenta, catalog number 304060)",6692dedb636b31c93e912fdcffd6cea6
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,GHI/61,BioLegend,333602 (Unconjugated),AF532,AB_2892759,Custom,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD163_AF532/Human_Liver_CD163_CD49a.jpg,"Human liver: CD163 (yellow, based on catalog number 333602) and CD49a (blue, catalog number 328303)",8bd008d6c19c49f353b8a9fb57cabb9b
Q86VB7,Primary Antibody,CD163,Human,Mouse,IgG1,GHI/61,BioLegend,333602 (Unconjugated),AF532,AB_2892759,Custom,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD163_AF532/Spleen_CD163_AF532_BioLegend_333602_CD4_AF647_BioLegend_300520.jpeg;CD163_AF532/Human_Spleen_CD163_CD31.jpg,"Human spleen: CD163 (yellow, based on catalog number 333602) and CD4 (cyan, catalog number 300520);Human spleen: CD163 (yellow, based on catalog number 333602) and CD31 (blue, catalog number 303106)",fe99558e8c05ac21fb252326eb30b1ea;755271de591bd9bbf0dbc11a07cd990e
P02671,Primary Antibody,Fibrinogen,Human,Sheep,IgG,Polyclonal,Abcam,ab118533,Unconjugated,AB_10900171,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P02671,Primary Antibody,Fibrinogen,Human,Sheep,IgG,Polyclonal,Abcam,ab118533,Unconjugated,AB_10900171,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Sheep IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21102,AF680,AB_2535755,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Secondary Antibody,Sheep IgG (H+L),Human,Donkey,IgG,Polyclonal,Thermo Fisher Scientific,A-21102,AF680,AB_2535755,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD49a_AF647/Spleen_CD49a_AF647_BioLegend_328310_Fibrinogen_Unconjugated_Abcam_ab118533.jpeg,"Human spleen: CD49a (cyan, catalog number 328310) and Fibrinogen (red, catalog number ab118533 and A-21102)",274c0cb98d4be4f1ea6b1fc8e066fa57
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307620,AF488,AB_493175,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,HLA-DR_AF488/Human_Liver_HLADR_Vimentin.jpg,"Human liver: HLA-DR (cyan, catalog number 307620) and Vimentin (red, catalog number 677807)",a970860afbce6c2871c9a35229d03032
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307620,AF488,AB_493175,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,HLA-DR_AF488/HLADR_LN_BioLegend_307620.jpg;HLA-DR_AF488/Human_LN_HLA-DR_Va7.2.jpg,"Human lymph node: HLA-DR (green, catalog number 307620);Human lymph node: HLA-DR (purple, catalog number 307620) and Valpha7.2 (yellow, catalog number 351726)",4057e9953583621427e05792a865fba9;3d6ddd07d60117923bc6a9a52aa895d4
P01903,Primary Antibody,HLA-DR,Human,Mouse,IgG2a,L243,BioLegend,307620,AF488,AB_493175,Stock,IBEX2D Automated,1:4 Cytofix/Cytoperm Fixed Frozen,Skin,NA,0.3% Triton-X-100,NA,0.5 mg/ml LiBH4 10 minutes continuous exchange with automated protocol,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q13509,Primary Antibody,Tubulin beta-3 chain,Human,Mouse,IgG2a,TUJ1,BioLegend,801202 (Unconjugated),AF532,AB_2892767,Custom,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
P15104,Primary Antibody,Glutamine synthetase,Human,Rabbit,IgG,Polyclonal,Abcam,ab49873,Unconjugated,AB_880241,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
NA,Zenon Labeling Kit,Rabbit IgG (H+L),Human,Goat,Fab2,Polyclonal,Thermo Fisher Scientific,Z25305,AF555,NA,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0002-3882-457X,NA,0000-0002-3882-457X,NA,NA,NA
Q9BYG3,Primary Antibody,Ki-67,Human,Mouse,IgG1,B56,BD Biosciences,561277,AF700,AB_10611571,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9BYG3,Primary Antibody,Ki-67,Human,Mouse,IgG1,B56,BD Biosciences,561277,AF700,AB_10611571,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD23_AF532/CD23_LN_BioLegend_338502_Custom_Ki67_BDBiosciences_561277.jpg,"Human lymph node: CD23 (magenta, based on catalog number 338502) and Ki-67 (green, catalog number 561277)",bd0c2d2ba50e6183ce267cf5c0f9d370
Q9BYG3,Primary Antibody,Ki-67,Human,Mouse,IgG1,B56,BD Biosciences,561277,AF700,AB_10611571,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Spleen,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Ki-67_AF700/Spleen_Ki-67_AF700_BD_561277_CD21_AF532_BioLegend_354902.jpeg,"Human spleen: Ki-67 (yellow, catalog number 561277) and CD21 (cyan, based on catalog number 354902)",49c917e6a8b03152e77674e1cd74e551
